SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CCC(C)C(C)CCO,130.231,1,1,4,0,1,20.23,2.0510000000000006,2
C#CC1CCC2NC12C,121.18299999999999,1,1,0,2,1,21.94,0.7601,3
C#CC(C#N)C(C)CO,123.15499999999999,2,1,2,0,2,44.019999999999996,0.38778000000000007,2
C#CC(C)OC1(C)CC1,124.18299999999999,1,0,2,1,1,9.23,1.5772,1
N=c1oc(F)ncc1O,130.078,4,2,0,1,5,70.11,-0.0012300000000000644,0
O=C(NC1CC1)N1CC1,126.15900000000002,1,1,1,2,3,32.11,0.17399999999999993,0
CC(CC(C)C)=NO,115.176,2,1,2,0,2,32.59,1.8825999999999998,0
CC1C(=O)C2CN1C2,111.144,2,0,0,3,2,20.310000000000002,-0.11060000000000003,1
CC1=CC2CC(C2)C1=O,122.167,1,0,0,3,1,17.07,1.5416,0
O=CC12CCN1C1CC12,123.15499999999999,2,0,1,3,2,20.310000000000002,0.03190000000000004,3
